"","model","gridID","n_points","cv_Psal_MAE","cv_Psal_MSE","cv_Psal_CRPS","cv_Psal_SCRPS","cv_Temp_MAE","cv_Temp_MSE","cv_Temp_CRPS","cv_Temp_SCRPS","cv_Psal_MAE_sd","cv_Psal_MSE_sd","cv_Psal_CRPS_sd","cv_Psal_SCRPS_sd","cv_Temp_MAE_sd","cv_Temp_MSE_sd","cv_Temp_CRPS_sd","cv_Temp_SCRPS_sd"
"259","nig_cor",71,392,0.0254170012049803,0.00117746530874879,0.0184584685989964,-0.662882077353778,0.273810897985079,0.136029517267165,0.19775432516915,0.520793298519324,0.0003981010977424,2.50345150095284e-05,0.00048143176658764,0.0161317799683618,0.00475132105133618,0.00318160847567085,0.00549501602765132,0.0173662664409806
"260","nig_cor",72,487,0.0138361999596227,0.00032262465894717,0.0100390350392353,-0.947747271313983,0.181574563114278,0.056180350166751,0.129854940504446,0.323623112203361,0.00023352148119058,6.53488506169413e-06,0.00026609408493719,0.0120911211334729,0.00311362761915756,0.00117231311642195,0.00339471808094849,0.013731156904611
"261","nig_cor",73,414,0.0113361208293398,0.00026416932341071,0.00868301644655279,-1.02126509839357,0.166347614532716,0.045862735046939,0.117220116377028,0.271004876766625,0.00020964258910563,5.04680179143632e-06,0.00024323809426001,0.0119243693795863,0.00251959465746628,0.00092012724095903,0.00313301191006811,0.0146660143947597
"262","nig_cor",74,564,0.0132161300107394,0.00035783018766779,0.0100626419898812,-0.947955996176193,0.160388102251351,0.043127343213746,0.113352070913436,0.250463738709034,0.00028189937800425,9.1629062748561e-06,0.00031045455493514,0.0126613286949207,0.00300536908188792,0.00103400249196478,0.00340542399635086,0.0137518552007331
"263","nig_cor",79,500,0.204408664764833,0.100466206086485,0.161588910339773,0.428941441908307,1.40213374162502,4.39332227557923,1.08592077497172,1.3786552849194,0.00574770459212502,0.00319230807470688,0.00625437998031482,0.0305250328711805,0.0367894514303744,0.135664358182936,0.0411966544555055,0.026787116936298
"264","nig_cor",80,518,0.211393579878566,0.102285326956694,0.161382544262824,0.412126475601446,1.428518041311,4.71709817766684,1.08777953878264,1.36343961762086,0.00658648922779169,0.00387061219985139,0.00648398565944274,0.0211165423298431,0.0432078693860855,0.167209627195327,0.0451328990574571,0.0241846255518467
"265","nig_cor",81,434,0.156611357525146,0.0616681634692224,0.11749767732579,0.210302917265803,1.01742156353708,2.79895153229661,0.773566813912317,1.15045218548413,0.00485776218852678,0.00229025610126077,0.00495031278900332,0.0264561205899215,0.0345937312107942,0.11906848579593,0.0338950863596623,0.0242861568379228
"266","nig_cor",82,515,0.0368128603053785,0.00278417039654921,0.0278386856741665,-0.441825122729346,0.242338782640338,0.114256616597667,0.179775767991395,0.488015554008196,0.00097914963983519,8.98585847842293e-05,0.00104313023403309,0.0141537780661801,0.00637103327151487,0.00375484358748286,0.00663671397214127,0.0147071380798846
"267","nig_cor",83,622,0.0225629527203312,0.00095127941575696,0.0169959639211388,-0.672198794894632,0.150543770768787,0.0419270922697696,0.111322787354585,0.253939196592627,0.00056166513908177,2.80913458100541e-05,0.00059408175225219,0.0122110514072473,0.0036711913289219,0.00122980831436756,0.00365030806011614,0.0127137040646698
"268","nig_cor",84,892,0.0221099222588327,0.00140597121091039,0.0171706747423485,-0.70771608483718,0.0487709186026659,0.00521988073952118,0.038819059230543,-0.261574139661448,0.00044553836654304,4.16748929311242e-05,0.00047006112821281,0.0129405216209575,0.00120090970901915,0.00017271076132426,0.00124550897953056,0.0105140363769231
"269","nig_cor",85,949,0.0210267950374688,0.00112044776307594,0.0160491051953184,-0.749570240447162,0.084822542684107,0.0162119796010883,0.0629993869465724,-0.0559961579629847,0.00041934647180498,2.67706373450618e-05,0.00048218056556319,0.0136572254491497,0.00125961119246584,0.00027872093977883,0.00136246258338972,0.0134788716308573
