"","model","gridID","n_points","refit","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
"495","nig_indep",361,252,FALSE,-0.026479135906266,0.0221161267389144,0.0481831445955287,0.549931207533064,0.236239704379068,0.0835664302353986,0,1.08065764197039,0.94942228557737,1.28871817882383,0.00736034956677298,0.0424810432032821,NA,4.64083854232949,56.97,"CV_done",TRUE,1466,FALSE
"496","nig_indep",362,302,FALSE,-0.0854569244390443,0.239621102716161,0.0278454014322668,0.307261039167378,0.840538115850204,0.740546271674871,0,1.17071176827264,0.84626806088778,1.59433846528179,0.00766458717337395,0.0473910967348222,NA,14.6898675803343,56.97,"CV_done",TRUE,1462,TRUE
"497","nig_indep",363,229,FALSE,-0.0604866476476417,0.213626625432769,0.0324043880374172,0.399903939355541,0.35349985441079,0.41725896436696,0,1.23235356548026,1.25315936074068,1.68721561811591,0.00703466531532509,0.0666657850904134,NA,3.32838719976721,56.97,"CV_done",TRUE,1469,TRUE
"498","nig_indep",365,459,FALSE,0.0570880540557923,0.01854137568313,0.218663684712162,1.68348270587351,0.0470908359059951,0.696552679808711,0,2.32036312720308,1.50059371257733,1.52616428736082,0.0254761296931983,0.246273837496735,NA,2.63307878512751,56.97,"CV_done",TRUE,1470,TRUE
"499","nig_indep",366,505,FALSE,0.066369483148838,-0.01356593646038,0.145657831755651,1.15674328990989,0.0906776239581042,0.649068413183657,0,1.82289401207972,1.50737707854534,1.40904725911185,0.0275533828270729,0.243251437618564,NA,4.20142866671913,56.97,"CV_done",TRUE,1478,FALSE
"500","nig_indep",367,431,FALSE,0.0227242544429177,-0.0022923684100492,0.0975290619370649,0.836425055572859,0.234277031881801,0.683129913963433,0,1.42178958299898,1.14066614194786,1.23324993588567,0.0256839674621928,0.183328369357283,NA,2.71105150901609,56.97,"CV_done",TRUE,1474,TRUE
"501","nig_indep",368,489,FALSE,0.0708079342064663,0.100943641393656,0.0868964449039249,0.761429410034772,0.222284921366498,0.931841147862432,0,1.49423271739414,1.11323655271467,1.30495700227352,0.0213373127489289,0.148787592885261,NA,3.89646411798618,56.97,"CV_done",TRUE,1472,FALSE
"502","nig_indep",369,488,FALSE,0.0410423293738275,0.189436958236228,0.155784203844204,1.22832466160664,0.080706779115159,0.790709466284668,0,2.69969181165977,2.07896392570432,2.00847637237063,0.0199283950287524,0.138432319274187,NA,3.85968111684753,56.97,"CV_done",TRUE,1465,FALSE
"503","nig_indep",370,170,FALSE,-0.305599790068209,-0.405141669204365,0.069095004517826,0.320857163896907,1.03285403090414,0.60573607349187,0,-0.220971212099032,1.18429248505106,1.68694306353082,0.0230998708801361,0.129275497108154,NA,5.04721730453825,56.97,"CV_done",TRUE,1799,FALSE
"504","nig_indep",371,161,FALSE,-0.203608414113496,-0.102310451693721,0.0642783460332219,0.235949228440359,0.726239649073762,0.52626551585678,0,0.109382942876552,1.31304223388556,1.48087722759851,0.0238434558458132,0.0992078033387667,NA,5.17651418037161,56.97,"CV_done",TRUE,1794,TRUE
