"model","gridID","n_points","cv_pdensity_MAE","cv_pdensity_MSE","cv_pdensity_CRPS","cv_pdensity_SCRPS","cv_pdensity_MAE_sd","cv_pdensity_MSE_sd","cv_pdensity_CRPS_sd","cv_pdensity_SCRPS_sd"
"nig_cor",188,266,0.0162623106418156,0.000444347639890709,0.0119105281544433,-0.868203971894073,0.00583143213801764,0.00021001007029941,0.00303264669273191,0.118084814423903
"nig_cor",189,335,0.0149997115630508,0.000373265045051719,0.0109014814138513,-0.906855719471861,0.00525915392498052,0.000173854320544661,0.00276538164040394,0.12332578056231
"nig_cor",190,304,0.0127814694199482,0.000265259162436393,0.00923082466723616,-0.974575818941632,0.00505251968448422,0.000152777272458445,0.00262139436001769,0.115058058942297
"nig_cor",191,580,0.0108236416786015,0.000193074991153564,0.00767776913249032,-1.08740307442442,0.00361493878228191,9.55064390068557e-05,0.00202764590895232,0.121487125737893
"nig_cor",192,359,0.011353739402071,0.000197948269914351,0.00789474658966699,-1.07247252506177,0.00383873826241358,9.96946094597268e-05,0.00219455620905523,0.13032458586148
"nig_cor",196,170,0.0115289680630689,0.000229939764039878,0.00826054511996652,-1.04833758765404,0.0021921705601968,5.51081087834134e-05,0.00109525389414872,0.0581635206134298
"nig_cor",197,277,0.0103481234152763,0.000175536186063364,0.00742946486568879,-1.10325871820665,0.00198618201743512,4.6115097522899e-05,0.00107076422431137,0.0643170280320176
"nig_cor",198,392,0.0108897381452318,0.00019564334807356,0.0076833898458899,-1.08930618019815,0.00146600090508166,3.48950882070161e-05,0.000858279368684569,0.0627232823601725
"nig_cor",199,420,0.0113033305564768,0.000203057803122289,0.00798704326636596,-1.06606301078762,0.00228949151054569,5.60465192827002e-05,0.00129101703028307,0.0843267089517523
"nig_cor",200,460,0.0107133862618052,0.000185037915098545,0.00761531078933846,-1.09386270827,0.00196614856387633,4.68942493679724e-05,0.0011087960282903,0.0772310945772561
"nig_cor",201,418,0.0122560611809305,0.000249602960856513,0.00884497655554279,-1.00573705058476,0.00221752292625493,5.61002261407348e-05,0.00129643636651083,0.0899390285595042
"nig_cor",202,399,0.0121078940099407,0.000228701801486714,0.00838419840453998,-1.04344156432318,0.0011949983743996,3.00995272274339e-05,0.000672427795543342,0.0409796278690838
"nig_cor",203,445,0.0128938151010175,0.000264521742092731,0.00905296840752683,-1.00200063433538,0.00161400588513668,4.49411710170277e-05,0.000908122303114778,0.0558010034228397
"nig_cor",204,419,0.0119948509644867,0.000234764371254397,0.0085084097596369,-1.02964158603953,0.00237928069921596,6.19648543183853e-05,0.00140228343067013,0.0940559715485671
"nig_cor",205,480,0.0111143100995023,0.000193894959513472,0.00774685468107753,-1.08482405405908,0.00112321291506344,2.57687347558794e-05,0.000605349331984108,0.0386688194607667
"nig_cor",206,415,0.0125047820419298,0.000255528437317038,0.0088877027542379,-1.01656514997462,0.00223831177116005,5.84819667096969e-05,0.00116265301829867,0.066630278941722
"nig_cor",207,472,0.0124907297378764,0.000253192034185908,0.0088791487221899,-1.01178713590943,0.00202015254733962,5.39855760075411e-05,0.0011773732087678,0.07358499361915
"nig_cor",208,492,0.0115037453307832,0.000227473045414852,0.00823968351365021,-1.05203739551098,0.000943062442363777,2.23531569768789e-05,0.000543824590977932,0.0383257287856058
"nig_cor",209,451,0.0116222700807227,0.0002043845453643,0.00813323981137128,-1.05319238426309,0.00164179324528247,3.96870316314387e-05,0.00096754594814632,0.0693862062396091
"nig_cor",210,237,0.0107497479244105,0.000217188681292019,0.00791325604035671,-1.07138375700035,0.00184582028663747,4.21616085445231e-05,0.00101657932414562,0.0739093714752127
"nig_cor",215,233,0.0148893687998161,0.000380169106830161,0.0105262129937549,-0.934964778465648,0.00553514513912309,0.000177265036488283,0.00299812088849542,0.138710581840381
"nig_cor",218,364,0.0107039705582133,0.000199656932573387,0.00774454466104486,-1.07947298368262,0.00342997519836939,8.64200311825236e-05,0.00200201031712941,0.133993072213642
"nig_cor",219,266,0.00895173917764636,0.000126415722630158,0.00621298495773282,-1.19497095896842,0.00283174395159455,5.46121793551143e-05,0.00155404708040575,0.12267085902417
"nig_cor",223,164,0.0246293883500453,0.00107626817404048,0.017257104021058,-0.688672573422351,0.00351050310717251,0.000184339828080251,0.00214828578845253,0.0699051811965308
"nig_cor",224,255,0.0165877187734989,0.000456857757608831,0.011840457770414,-0.875720328275277,0.00342637385684807,0.000120206443837103,0.00187080765251978,0.0845178384634173
"nig_cor",225,311,0.0134408680788205,0.000314609349609568,0.00961090071865198,-0.977397111955202,0.00458108319451138,0.000139354367125106,0.00219804071130107,0.096684696302972
"nig_cor",226,293,0.0134707329162624,0.000310766629119436,0.0095571779400545,-0.992474964882636,0.00551412786551081,0.000171634516271776,0.00324166402433545,0.187195909155765
"nig_cor",227,363,0.0120709127301546,0.000220221010132118,0.00857303780134537,-1.03472008712251,0.00657749003291598,0.000182127807628905,0.00376544916976717,0.219773325775262
"nig_cor",229,293,0.0146087418528179,0.000417057391807512,0.0105795525973722,-0.928196320806874,0.00373189757118583,0.000116002306547873,0.00228378813867677,0.145567398746856
"nig_cor",230,122,0.0113035118300826,0.00021471494403644,0.00812184775900434,-1.06007588480036,0.00152909894877082,4.24048925648666e-05,0.0010391444980865,0.0760650344777889
"nig_cor",233,204,0.0173764226482587,0.000553397777222172,0.0129508302640058,-0.829760664235509,0.0056088201460865,0.000239344080772764,0.00334882056473186,0.135863505201229
"nig_cor",234,485,0.0140454368572851,0.000325730566393791,0.0102430144137103,-0.942805653178479,0.00365892310938789,0.000116820090078265,0.00212107348697157,0.115351136423498
"nig_cor",235,459,0.0116272215609532,0.000217721239508518,0.00833749441435735,-1.045416534343,0.00436805340098122,0.000116738288632655,0.00260007049119711,0.170045182266432
