"presLevel","model","gridID","refit","n_points","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
1000,"nig_indep",114,TRUE,182,0.013113655960943,0.0139073072945518,0.622673860423544,2.3832713709606,0.166306338883739,0.00835358212479371,0,1.2574574234307,2.50883017611822,4.15610667991053,0.0275334024187657,0.105474304456706,0,3.69985581097504,0,"CV_done",TRUE,811,FALSE
1000,"nig_indep",120,TRUE,836,0.00870467413090486,0.0745397719246954,0.113427925739638,0.725624125638974,0.0590060158413792,0.414474277620275,0,4.79526673225777,2.31612982485415,2.49984544322485,0.0225101753551286,0.119701808342221,0,4.93503885560566,0,"CV_done",TRUE,2152,TRUE
1000,"nig_indep",121,TRUE,713,-0.027649163558837,0.10888067002265,0.0534955343117555,0.269841641538707,0.532304422890675,0.446691231429451,0,2.43602150131327,2.59666084409532,2.13544861477109,0.0186816386256214,0.104702054089737,0,2.15239987446202,0,"CV_done",TRUE,1869,TRUE
1000,"nig_indep",123,TRUE,340,0.134475617523444,-0.138051975725463,0.0111034218707565,0.190037090038791,1.53585381691821,1.22502362231883,0,1.2119216769093,1.75684326316999,1.62743789350315,0.00318501701568587,0.0710181892291495,0,1.80533801145024,0,"CV_done",TRUE,983,TRUE
1000,"nig_indep",125,TRUE,290,-0.0737260051927874,-0.234487642424523,0.0176189319660306,0.232670567346093,0.507735925642571,0.76321110703932,0,-1.21246133497505,0.753981488475909,2.01186937351769,0.00699270059840039,0.103443261114156,0,1.79113623321056,0,"CV_done",TRUE,750,TRUE
1000,"nig_indep",126,TRUE,858,-0.0199332908467958,0.285557568886278,0.0237154870997164,0.227284331970664,0.352828887435149,0.799278883542541,0,-0.681730677330187,1.40820800569555,1.39554492722591,0.0102988419272509,0.100027395686031,0,3.88864112026162,0,"CV_done",TRUE,2395,TRUE
1000,"nig_indep",127,TRUE,949,-0.0265197652764546,0.424014222783893,0.02572285673055,0.215612721773425,0.359466989838197,0.868181118630303,0,-0.830322763274744,1.48225746284761,1.44111812166913,0.010870527175005,0.0900332273748172,0,5.2467447682884,0,"CV_done",TRUE,3079,TRUE
1000,"nig_indep",128,TRUE,476,-0.0595834141071211,0.180176899734151,0.0209184269149629,0.194560450468073,0.596750469359651,0.841766924226722,0,-0.773163909386965,1.62857519448653,1.66127827676558,0.00992257458691482,0.0795626377131968,0,1.80027133285999,0,"CV_done",TRUE,2188,TRUE
1000,"nig_indep",129,TRUE,337,-0.223825952402445,1.1686523414294,0.0028423585404905,0.11937744465148,0.731885390531717,0.77246362805597,0,1.17775523250893,0.0282588138010488,1.07907984391961,0.0161526330566511,0.0751904558359766,0,1.79753114998341,0,"CV_done",TRUE,1519,TRUE
1000,"nig_indep",130,TRUE,330,-0.0391013496343788,0.349554358592228,0.0173567951964688,0.13141470461189,0.258586435529057,0.919992432896973,0,-0.385192753992661,2.59915971031516,1.3314078433719,0.00662904848610164,0.0567235915897575,0,4.19785741845767,0,"CV_done",TRUE,1265,TRUE
