"model","gridID","n_points","refit","Mu1","Mu2","Sigma1","Sigma2","Nu1","Nu2","Theta","Rho","Kappa1","Kappa2","sigma_e1","sigma_e2","rho_e","Time","TimeCV","cv_status","RB","n","conv"
"nig_indep",142,343,FALSE,-0.00534819946165467,-0.642548330321146,0.445161704576656,0.686708745973759,0.0888104373674508,0.888202779007256,0,-0.222320977028038,0.483735362246422,0.0879232991754235,0.126171150272368,0.382283869482104,NA,3.16152624763548,48.48,"CV_done",TRUE,1248,FALSE
"nig_indep",143,415,FALSE,0.000928688699426109,-0.412750017519376,0.418886328760375,0.668418575342304,0.0681689638393735,0.816008946540115,0,-0.0512027783322456,0.514275466164279,0.0827660247319655,0.120834137374983,0.324779150326829,NA,3.01353031682195,48.48,"CV_done",TRUE,1249,FALSE
"nig_indep",144,473,FALSE,-0.597835901870507,-0.175249936304691,0.168215634702437,0.63831858524949,0.731263320480185,0.934408622421047,0,0.201938144921779,0.816149423343493,0.0879432827027803,0.0997766248838464,0.348610288551502,NA,20.8608594387107,48.48,"CV_done",TRUE,1252,TRUE
"nig_indep",145,449,FALSE,-0.20368376767533,-0.758602347226998,0.205398703858267,0.474512747599243,0.277511162135363,0.562456377464373,0,0.0257881239908441,1.02666569082029,0.0936588355461689,0.0854824357156507,0.455444969718436,NA,3.29895888061435,48.48,"CV_done",TRUE,1253,FALSE
"nig_indep",146,303,FALSE,-0.323811071132558,-0.555408743831106,0.189979571163608,0.84041071080268,0.605202426732802,0.77003691579007,0,-0.149486353458274,1.02986169358283,0.127620696106874,0.0899116479775558,0.504778692970513,NA,23.1241198601325,48.48,"CV_done",TRUE,1253,TRUE
"nig_indep",152,171,FALSE,0.458930154278852,0.277520779553172,0.218044972063651,1.07670367293045,1.4855953749112,0.741740909217618,0,0.340308895342099,0.782342321547793,0.166527681766262,0.0837319187964754,0.253750241750887,NA,1.6921599846416,48.48,"CV_done",TRUE,450,FALSE
"nig_indep",153,412,FALSE,-0.126326897423457,0.103995088912864,0.213243083206749,0.966172057504072,0.816273206517224,0.956766133194874,0,0.152658491264544,0.683890580343315,0.11612044693529,0.0983617878442349,0.345336118583483,NA,9.6263307921754,48.48,"CV_done",TRUE,1213,TRUE
"nig_indep",154,595,FALSE,-0.11461450981872,-0.647882440497185,0.469073213282323,0.657938692863103,0.0604265890296952,0.891118076546848,0,0.0615803766625832,1.35449338827286,0.116468373657902,0.129243753927394,0.318182515421982,NA,2.90411927964124,48.48,"CV_done",TRUE,1212,FALSE
"nig_indep",155,118,FALSE,-0.725830235051435,-0.653447833077432,0.403250471748551,0.656492704738289,0.342693972052521,0.778644239213967,0,0.345807188858687,1.35140615127212,0.152205175709959,0.27330471257024,0.273674914289163,NA,2.87864014633276,48.48,"CV_done",TRUE,1220,FALSE
"nig_indep",156,863,FALSE,-0.702281971937581,-0.583186610067958,0.403662093952582,0.642955341391226,0.290384554726855,0.569201403515383,0,0.682808780744401,1.14358045483359,0.135709620068582,0.412348586186311,0.344562242563545,NA,2.84206222376614,48.48,"CV_done",TRUE,1212,FALSE
